Waktu Tarik,Sumber,Kategori,Judul,URL,Sentimen,Skor Sentimen
2026-09-26 10:37:58,DetikHot Celebs,Headline,"Rumah Guruh Soekarnoputra Batal Dieksekusi, Suami Pinkan Mambo Divonis 9,5 Tahun Bui",https://hot.detik.com/celeb/d-6860303/rumah-guruh-soekarnoputra-batal-dieksekusi-suami-pinkan-mambo-divonis-9-5-tahun-bui,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Headline,Sederet Barang Peninggalan Bung Karno di Rumah Sengketa Guruh Soekarnoputra,https://hot.detik.com/celeb/d-6861201/sederet-barang-peninggalan-bung-karno-di-rumah-sengketa-guruh-soekarnoputra,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,"Audi Marissa-Anthony Xie Dikabarkan Rujuk, PN Jaksel Tunggu Laporan",https://hot.detik.com/celeb/d-8679721/audi-marissa-anthony-xie-dikabarkan-rujuk-pn-jaksel-tunggu-laporan,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Indra Kenz Tulis Surat Terbuka Usai Bebas: Akui Salah-Minta Maaf ke Korban,https://hot.detik.com/celeb/d-8679556/indra-kenz-tulis-surat-terbuka-usai-bebas-akui-salah-minta-maaf-ke-korban,Positif,100.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Sinyorita Esperanza Beberkan Kronologi Keguguran Bayi Tabung,https://hot.detik.com/celeb/d-8679336/sinyorita-esperanza-beberkan-kronologi-keguguran-bayi-tabung,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Billy Syahputra Girang Banget Baby Stefan Pertama Kali Panggil 'Papa',https://hot.detik.com/celeb/d-8679052/billy-syahputra-girang-banget-baby-stefan-pertama-kali-panggil-papa,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,5 Poin Pembelaan Richard Lee Patahkan Dakwaan Jaksa,https://hot.detik.com/celeb/d-8678710/5-poin-pembelaan-richard-lee-patahkan-dakwaan-jaksa,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Alasan Willie Salim Putuskan Berkhitan,https://hot.detik.com/celeb/d-8678509/alasan-willie-salim-putuskan-berkhitan,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,"Alasan Opie Kumis Poligami, tapi Nasihati Teman Pikir-pikir Mau Nikah Lagi",https://hot.detik.com/celeb/d-8678233/alasan-opie-kumis-poligami-tapi-nasihati-teman-pikir-pikir-mau-nikah-lagi,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Eks Pacar Pastikan Gak Ada Masalah dengan Amanda Rigby,https://hot.detik.com/celeb/d-8677555/eks-pacar-pastikan-gak-ada-masalah-dengan-amanda-rigby,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,"Impian Jadi Nyata, Yoriko Angeline Bahagia Dilamar di Prancis",https://hot.detik.com/celeb/d-8678131/impian-jadi-nyata-yoriko-angeline-bahagia-dilamar-di-prancis,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Eks Pacar Nilai Beda Usia 18 Tahun Amanda Rigby dan Andre Taulany Cocok,https://hot.detik.com/celeb/d-8677830/eks-pacar-nilai-beda-usia-18-tahun-amanda-rigby-dan-andre-taulany-cocok,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Ruben Onsu dan Aditya Gumay Rugi Rp15 M Diduga Ditipu Rekan Kerja,https://hot.detik.com/celeb/d-8677924/ruben-onsu-dan-aditya-gumay-rugi-rp15-m-diduga-ditipu-rekan-kerja,Negatif,-100.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Demian Aditya Absen Sidang Perdana Cerai Tanpa Penjelasan,https://hot.detik.com/celeb/d-8677708/demian-aditya-absen-sidang-perdana-cerai-tanpa-penjelasan,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Pengakuan Angela Tee Soal Isu Cerai dan Pelajari Doa Muslim,https://hot.detik.com/celeb/d-8677641/pengakuan-angela-tee-soal-isu-cerai-dan-pelajari-doa-muslim,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Eks Pacar Amanda Rigby Jelaskan Kata Alhamdulillah yang Viral,https://hot.detik.com/celeb/d-8677018/eks-pacar-amanda-rigby-jelaskan-kata-alhamdulillah-yang-viral,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,"Sara Wijayanto Hadiri Sidang Perdana Cerai, Demian Aditya ke Mana?",https://hot.detik.com/celeb/d-8677162/sara-wijayanto-hadiri-sidang-perdana-cerai-demian-aditya-ke-mana,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Sara Wijayanto Tetap Ceria Jalani Sidang Perdana Cerai,https://hot.detik.com/celeb/d-8676986/sara-wijayanto-tetap-ceria-jalani-sidang-perdana-cerai,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,"Dilaporkan Erin ke MKD, Rieke Diah Pitaloka: Pendampingan Bukan Intervensi",https://hot.detik.com/celeb/d-8677074/dilaporkan-erin-ke-mkd-rieke-diah-pitaloka-pendampingan-bukan-intervensi,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Sara Wijayanto Masih Bungkam Soal Ceraikan Demian Aditya,https://hot.detik.com/celeb/d-8676879/sara-wijayanto-masih-bungkam-soal-ceraikan-demian-aditya,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,KTP dan Gaji Eks ART Masih Ditahan Erin,https://hot.detik.com/celeb/d-8676344/ktp-dan-gaji-eks-art-masih-ditahan-erin,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Korban Dugaan Kekerasan Seksual akan Serahkan Bukti Krusial,https://hot.detik.com/celeb/d-8676297/korban-dugaan-kekerasan-seksual-akan-serahkan-bukti-krusial,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,"PK Nikita Mirzani Ditolak, Jadi 'Angin Segar' Untuk Reza Gladys",https://hot.detik.com/celeb/d-8676480/pk-nikita-mirzani-ditolak-jadi-angin-segar-untuk-reza-gladys,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,"Digugat Rp 1 Miliar oleh Eks ART, Erin Mangkir Mediasi",https://hot.detik.com/celeb/d-8675776/digugat-rp-1-miliar-oleh-eks-art-erin-mangkir-mediasi,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Atalarik Syach Tunggu Anak Dewasa Sebelum Lepas Bebas ke Tsania Marwa,https://hot.detik.com/celeb/d-8675429/atalarik-syach-tunggu-anak-dewasa-sebelum-lepas-bebas-ke-tsania-marwa,Positif,100.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Pengacara Reza Gladys Sebut Permohonan PK Nikita Mirzani Ditolak MA,https://hot.detik.com/celeb/d-8675832/pengacara-reza-gladys-sebut-permohonan-pk-nikita-mirzani-ditolak-ma,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Pengacara Korban Dugaan Kekerasan Seksual Soroti Kesaksian Teman Betrand Peto,https://hot.detik.com/celeb/d-8675745/pengacara-korban-dugaan-kekerasan-seksual-soroti-kesaksian-teman-betrand-peto,Netral,0.0
