Waktu Tarik,Sumber,Kategori,Judul,URL
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Buka LKBB-PB Tingkat Nasional, Waka MPR Tegaskan Pentingnya Disiplin",https://news.detik.com/berita/d-8650193/buka-lkbb-pb-tingkat-nasional-waka-mpr-tegaskan-pentingnya-disiplin
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Ada Pipa 'Siluman' di Sungai Cileungsi, Diduga untuk Buang Limbah",https://news.detik.com/berita/d-8650182/ada-pipa-siluman-di-sungai-cileungsi-diduga-untuk-buang-limbah
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Pengungsi Anak Korban Gempa NTT Diduga Diperkosa,https://news.detik.com/berita/d-8650181/pengungsi-anak-korban-gempa-ntt-diduga-diperkosa
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Gempa M 4,7 Terjadi di Nias",https://news.detik.com/berita/d-8650179/gempa-m-4-7-terjadi-di-nias
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Program Sahabat Literasi Tingkatkan Minat Baca Siswa Sekolah Rakyat Solok,https://news.detik.com/berita/d-8650176/program-sahabat-literasi-tingkatkan-minat-baca-siswa-sekolah-rakyat-solok
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"3 Orang Tewas Akibat Kecelakaan Beruntun di Jakbar, 1 Korban Anak",https://news.detik.com/berita/d-8650168/3-orang-tewas-akibat-kecelakaan-beruntun-di-jakbar-1-korban-anak
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Detik-detik Kecelakaan Beruntun di Jakbar hingga Ada Korban Tergeletak,https://news.detik.com/berita/d-8650161/detik-detik-kecelakaan-beruntun-di-jakbar-hingga-ada-korban-tergeletak
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Artha Graha Peduli Beri Akses Pengobatan Gratis bagi Warga Kampung Dao,https://news.detik.com/berita/d-8650149/artha-graha-peduli-beri-akses-pengobatan-gratis-bagi-warga-kampung-dao
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Mendagri Tinjau Bedah Rumah di Bukit Duri, Minta Pemda Percepat Perbaikan",https://news.detik.com/berita/d-8650135/mendagri-tinjau-bedah-rumah-di-bukit-duri-minta-pemda-percepat-perbaikan
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Sabtu Sore, Prabowo Terima Dubes AS untuk ASEAN di Hambalang",https://news.detik.com/berita/d-8650120/sabtu-sore-prabowo-terima-dubes-as-untuk-asean-di-hambalang
