Waktu Tarik,Sumber,Kategori,Judul,URL,Sentimen,Skor Sentimen,Wilayah,Topik / Kata Kunci,Volume Pencarian,Judul Berita
2026-09-08 08:35:02,TikTok Trending (News),,,https://news.google.com/rss/articles/CBMivwFBVV95cUxNNGc3NWtWcDlfNW9fWDFyX0g5X1Z6dWhhVVMzaFNVOTFUN2JjUzloUWFLQ0Y4ajlNX05QY1BnVFVoaHpTMnhwVkNSM0NKVEdaVGRqMktwRzRvS3d0dXE3Qk1DeFNOTEc0QjlNcF9CQkY3czItYUE2cS1uT09UdEg2X0pNdUw5VmZxM0tGM2lCX1hZUzhOc1hnR1NTUGs2MElLRjlpdWFkQmZCalJVbVc3V1Z0eDQweUJDeUg4UktIc9IBxAFBVV95cUxPb3BESGtHZVZSUWN2MUNicTBtOWFlQ2xpZlZXaDEtN1ZnV2hWaEp4RVN3ZWhEblFITEYtOWdHc2w1R01qUXd3cXNIN2NkbXhOUG03NUVEOHZPa0pCM2xna1BnQW5hTzJqWm1vZUFHX1ZXSzlXcHhlYUtqWUxIWXY2QnhKNWFVdXNJOEhpTFNkek9mVUFGZGlWN281N1l2Ui1hd2stMkV1empnWm43alF6X1NKTlYxM1FvRHBrSFcza1JOTXdE?oc=5,Netral,0.0,Indonesia,Viral TikTok,Trending Sosmed,Siapa Terduga Pelaku Pembuangan Bayi di Semarang Viral di TikTok? Ternyata... - Jatim Network
2026-09-08 08:35:02,X (Twitter) Trending,,,https://x.com/search?q=%23CRZY%ED%95%9C_TASTE_%EC%9D%BC%EC%A3%BC%EB%85%84&src=trend_click,Netral,0.0,Indonesia,#CRZY한_TASTE_일주년,Trending di X,Trending Topic X Indonesia: #CRZY한_TASTE_일주년
2026-09-08 08:35:02,X (Twitter) Trending,,,https://x.com/search?q=NEW%20MONEY%20ERA&src=trend_click,Positif,13.64,Indonesia,NEW MONEY ERA,Trending di X,Trending Topic X Indonesia: NEW MONEY ERA
2026-09-08 08:35:02,X (Twitter) Trending,,,https://x.com/search?q=%23PercepatanPemulihanBencana&src=trend_click,Netral,0.0,Indonesia,#PercepatanPemulihanBencana,Trending di X,Trending Topic X Indonesia: #PercepatanPemulihanBencana
2026-09-08 08:35:02,X (Twitter) Trending,,,https://x.com/search?q=Bantuan%20Pelayanan%20Korban&src=trend_click,Positif,100.0,Indonesia,Bantuan Pelayanan Korban,Trending di X,Trending Topic X Indonesia: Bantuan Pelayanan Korban
2026-09-08 08:35:02,Google Trends ID,,,https://sport.detik.com/sepakbola/liga-jerman/d-8653063/harry-kane-takjub-bisa-lampaui-rekor-gol-ronaldo,Netral,0.0,Indonesia,lewati,500+,Harry Kane Takjub Bisa Lampaui Rekor Gol Ronaldo
2026-09-08 08:35:02,Google Trends ID,,,https://www.theguardian.com/sport/live/2026/sep/07/us-open-tennis-2026-swiatek-v-zheng-osaka-v-rybakina-and-more-on-day-nine-live,Positif,25.0,Indonesia,coco gauff,200+,"US Open tennis 2026: Rybakina brushes aside Osaka, Zheng stuns Swiatek, and more on day nine – as it happened"
2026-09-08 08:35:02,Google Trends ID,,,https://www.bbc.com/news/articles/ce8e32n8epeo,Negatif,-100.0,Indonesia,miami,100+,Flight recorders recovered from 'devastating' Amazon cargo plane crash
2026-09-08 08:35:02,Google Trends ID,,,https://www.goal.com/id/daftar/milan-debut-moreira-sebagai-starter-mantan-pemain-strasbourg-itu-tampil-buruk-tetapi-punya-beberapa-alasan-yang-meringankan/blt9f7905228483b21a,Netral,0.0,Indonesia,diego moreira,200+,"Milan, debut Moreira sebagai starter: mantan pemain Strasbourg itu tampil buruk, tetapi punya beberapa alasan yang meringankan"
2026-09-08 08:35:02,Google Trends ID,,,https://www.digitalfoundry.net/news/2026/09/gta-6s-worldwide-release-times-revealed-with-new-zealand-set-to-receive-access-19-hours-before-mexico-and-central-america,Netral,0.0,Indonesia,gta 6,500+,GTA 6's Worldwide Release Times Revealed - with New Zealand Set to Receive Access 19 Hours Before Mexico and Central America
2026-09-08 08:35:02,Google Trends ID,,,https://premium.bisnis.com/read/20260907/656/2002037/morgan-stanley-muncul-di-daftar-pemegang-saham-jumbo-goto,Netral,0.0,Indonesia,morgan stanley,100+,Morgan Stanley Muncul di Daftar Pemegang Saham Jumbo GOTO
2026-09-08 08:35:02,Google Trends ID,,,https://takta.com.br/esporte/vitoria-tem-desfalque-importante-contra-o-gremio/,Netral,0.0,Indonesia,vitória vs grêmio,1000+,Vitória Tem Desfalque Importante Contra O Grêmio
2026-09-08 11:14:38,TikTok Trending (News),,,https://news.google.com/rss/articles/CBMidEFVX3lxTE9hSEVCOFhFb2pBbW4yZjQ3b0tBeDB6c0ZNTVRqQUN5TUh2YXJuOWFnX2VCUG9DR0V2MlJBbjJzMFJXaDFrSEdZdlZNM0NkazVwTE50a2dudWo5ZnlnSi1SXzRjcU5KZmxRUTFLbE1QY2VCWXhE?oc=5,Netral,0.0,Indonesia,Viral TikTok,Trending Sosmed,"Meme Coin BIPOLAR Viral TikTok Meluncur Besok, Tapi Ada Jebakan"
2026-09-08 11:14:38,TikTok Trending (News),,,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQXzd1ajFoQ1E2OExvYzEta0dJeEg0c1Jrb1lwb294LW03WjNQcUVFWmZZNTcxMlFRNjlUVm03Y1Z2enB2RDJDcXhRSzlYc2ZfMTdlaDBLbFhScTVLZjNOdlQtN1dpU21EaXlUTnlJOWxhdGlwQXRhOHM4Ym0zYUsxNkhzLWYyREJSZ2FkalRXdXlxSmlocXpHODA0ZjRPNFZ3bm9YX0JGSEVkLUh6aElqY2hYMTFKanJWbW00NUM3R0dyYVZkYVFiYWFWLVB0WVFSOTVySW5pcDkxY18zdURGVG5rdV9zRlRm?oc=5,Netral,0.0,Indonesia,Viral TikTok,Trending Sosmed,"Antrean Solar di SPBU Lakaran Mengular hingga Jalan, Viral di TikTok dan Bikin Arus Lalu Lintas Tersendat"
2026-09-08 11:14:38,TikTok Trending (News),,,https://news.google.com/rss/articles/CBMixwFBVV95cUxPUllYeEpOVktCWDlMY01EeWljWmVveGNXeFRIYnIwMk53TUJGX0dYZXdEVm16TEdTRFFvcGp3NDg3cGpPSnljX2I3bHFfRU9uZXFLcG82bUZJc1hhdjBZZm9HVWRnM0FmRVRrSl9Ubm45ZVkxbzVNd01CRUt5RF91ckNCQ2gtVGhvLThQSzJTN0wtc0xaVzIxUUpsSG5DcXMtVDZta2UtdFNtVGhHSlo1RkdWa1N0YV9jNjJpZ0hSb2ZLZUlBTks00gG7AUFVX3lxTFBPWHgyemJVOV93OENURnktRzl5clVHeDRzazUtVjJiN21RX0UxX0V4MXhxNkVULXBURkVhRmFsLTdOSnl1cTRabTBUZU9TUGNMTWd3TnhvLVFOcUkzeDlGQ1JPQXFjYS1iOTFlbDhmdlV1M09IcUNKTzdsRVJ5bGJqWlg0RmlHaXFPOUU2YUY1bGJOY0hMdEVUTXhJcWVWYjlHOTRiSkhsWnRvekdTcmtRdGlHbk4yS3hQLWc?oc=5,Netral,0.0,Indonesia,Viral TikTok,Trending Sosmed,In We Trust Artinya Apa dalam Bahasa Gaul? Ini Maksud Tren In We Trust di TikTok - radarjabar.disway.id
2026-09-08 11:14:38,TikTok Trending (News),,,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOY21KMjNPZFY4U3ltR3dLdFBpcm00Tm03eGI0d2xDTEVKMU5fM0lOM0pQNWw3WkVBaTZjODFtLUJFN0dURVFTUlBMT3VzTDctYUp1bGNycWlCQnZUTTN5QXBFZHA0X3REOE9EOHpTT0lGZTlmckdDNFo5bk9keGhWMWJZNldsbllCZ1RuRXp5LUM4QmppbmFZdGpIVUpIZkp5cUlENnlsWDJaaEo3N0FBakxVU2UzZTdGZTc4?oc=5,Netral,0.0,Indonesia,Viral TikTok,Trending Sosmed,"Literasi Informasi Digital Generasi Muda di Desa Lambusa, Masih Menghadapi Hoaks"
2026-09-08 11:14:38,X (Twitter) Trending,,,https://x.com/search?q=%23HOPPYLYNNDAY&src=trend_click,Netral,0.0,Indonesia,#HOPPYLYNNDAY,Trending di X,Trending Topic X Indonesia: #HOPPYLYNNDAY
2026-09-08 11:14:38,X (Twitter) Trending,,,https://x.com/search?q=%23TommyHilfiger&src=trend_click,Netral,0.0,Indonesia,#TommyHilfiger,Trending di X,Trending Topic X Indonesia: #TommyHilfiger
2026-09-08 11:14:38,X (Twitter) Trending,,,https://x.com/search?q=DEATH%20OF%20ME%20OUT%20NOW&src=trend_click,Netral,0.0,Indonesia,DEATH OF ME OUT NOW,Trending di X,Trending Topic X Indonesia: DEATH OF ME OUT NOW
2026-09-08 11:14:38,X (Twitter) Trending,,,https://x.com/search?q=KNP%20DENTISTE%20PARAGON&src=trend_click,Netral,0.0,Indonesia,KNP DENTISTE PARAGON,Trending di X,Trending Topic X Indonesia: KNP DENTISTE PARAGON
2026-09-08 11:14:38,X (Twitter) Trending,,,https://x.com/search?q=JOSSGAWIN%20IN%20DC%20R1&src=trend_click,Netral,0.0,Indonesia,JOSSGAWIN IN DC R1,Trending di X,Trending Topic X Indonesia: JOSSGAWIN IN DC R1
